"atletas.atleta_id","nome","atletas.posicao_id","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
36886,"Eugênio Machado Souto","tec",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37246,"Ney Franco da Silveira Júnior","tec",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37281,"Luis Antônio Venker de Menezes","tec",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37333,"Marcelo Ribeiro Cabo","tec",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37604,"Paulo André Cren Benini","zag",8,5,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0
37614,"Evandro Goebel","mei",7,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
37646,"Ebert William Amâncio","zag",15,11,0,1,15,0,0,21,4,26,0,3,0,0,0,0,0,0,0
37655,"Rafael Martiniano de Miranda Moura","ata",6,4,1,2,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0
37656,"Fábio Deivson Lopes Maciel","gol",15,0,0,0,1,0,0,0,0,2,0,4,15,0,16,0,0,0,1
37657,"Eduardo Luís Abonizio de Souza","zag",11,3,1,3,2,0,0,4,0,1,0,2,0,0,0,0,0,0,0
37662,"Jonathan Cícero Moreira","lat",15,4,1,0,3,1,0,6,2,7,0,2,0,0,0,0,0,0,0
37673,"Alecsandro Barbosa Felisbino","ata",7,7,3,4,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0
37688,"Cícero Santos","mei",15,7,2,7,36,3,1,18,3,27,1,0,0,0,0,0,0,0,0
37694,"Henrique Pacheco de Lima","mei",15,15,2,8,12,0,1,28,0,13,0,0,0,0,0,0,0,0,0
37701,"Leonardo da Silva Moura","lat",15,2,0,1,7,0,0,6,0,21,1,2,0,0,0,0,0,0,0
37717,"Fernando Henrique dos Anjos","gol",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37788,"Marcelo Boeck","gol",15,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0
37792,"Edimo Ferreira Campos","mei",15,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0
37798,"Rafael Augusto Sobis do Nascimento","ata",15,7,10,10,7,1,0,7,3,9,1,0,0,0,0,0,0,0,0
38001,"Anderson Pedro Nunes da Silva Campos","gol",15,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
