"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
38695,"David",4,36,33,1,3,11,1,0,25,4,88,2,0,0,0,0,0,0,0,0
38738,"Douglas",4,36,32,8,24,21,5,0,13,6,160,4,0,0,0,0,0,0,2,0
38745,"Jéci",3,36,17,5,5,18,0,4,6,7,43,0,2,0,0,0,0,1,0,0
38763,"Marcinho",4,6,4,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0
38768,"Andrezinho",4,27,17,2,8,39,1,2,24,3,44,3,0,0,0,0,0,0,0,0
38852,"Anderson",4,36,34,10,4,25,0,3,37,4,96,4,0,0,0,0,1,0,0,0
38908,"Renato",4,36,16,1,4,18,0,0,35,0,56,0,0,0,0,0,0,0,0,0
38910,"Ricardo Oliveira",5,36,45,25,23,21,19,31,8,6,44,2,0,0,2,0,0,0,4,0
38913,"Nenê",5,21,21,15,20,58,9,2,18,2,104,4,0,0,1,0,0,0,0,0
38921,"Júlio Baptista",4,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38957,"Rafael Marques",5,36,23,16,18,50,7,8,23,0,110,5,0,0,0,0,0,0,0,0
38959,"Vagner Love",5,36,26,14,18,55,14,13,18,3,60,2,0,0,0,0,0,0,0,0
38960,"Zé Eduardo",5,18,13,11,17,26,3,13,9,4,35,0,0,0,1,0,0,0,0,0
39042,"Hélio Dos Anjos",6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39572,"Renato",2,36,13,2,1,14,0,0,12,4,37,1,4,0,0,0,0,0,0,0
40025,"Levir Culpi",6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40130,"Silvio",1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
40179,"Kleber",5,30,28,10,5,54,1,5,8,3,32,0,0,0,0,0,0,0,1,0
40758,"Leandrão",5,15,15,8,6,9,1,2,5,1,21,0,0,0,1,0,0,0,0,0
40990,"Dorival Júnior",6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41159,"João Carlos",3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41218,"Magrão",1,36,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0
41258,"Adilson Batista",6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41327,"Vanderlei Luxemburgo",6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41387,"Eduardo Costa",4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41859,"Marcelinho Paraíba",4,36,29,11,22,13,5,8,16,5,102,5,0,0,1,0,0,0,0,0
42116,"Willian",5,36,41,21,30,54,11,17,36,6,74,4,0,0,1,0,0,0,1,0
42145,"Egídio",2,36,31,6,10,42,1,1,64,9,137,5,8,0,0,0,0,0,0,0
42213,"Fernando Bob",4,36,100,2,5,60,3,0,86,11,101,1,0,0,0,0,0,0,0,0
42222,"Osvaldo",5,25,12,2,3,25,1,0,2,2,30,0,0,0,0,0,1,0,0,0
42225,"Eusébio",2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42232,"Amaral",4,36,18,1,4,6,0,0,16,1,15,0,0,0,0,0,0,1,0,0
42234,"Cássio",1,36,0,0,0,2,0,0,0,2,19,0,15,52,0,29,0,0,0,1
42236,"Bruno Teles",2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42474,"Eltinho",2,36,10,1,0,6,0,0,6,4,24,0,1,0,0,0,0,0,0,0
42489,"Cássio",3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42499,"Bruno",2,36,34,0,2,18,0,1,27,5,82,1,11,0,0,0,0,0,0,0
42500,"Fagner",2,36,29,1,4,22,0,3,51,4,80,2,10,0,0,0,1,0,0,0
42501,"Rhodolfo",3,14,7,0,4,2,1,1,11,0,21,0,3,0,0,0,0,0,0,0
43618,"Luiz Felipe Scolari",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44857,"Naldinho",4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45125,"Tite",6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49641,"Adriano",4,36,15,0,0,4,0,0,31,5,15,0,0,0,0,0,0,0,0,0
49651,"Ernando",3,36,15,4,5,9,3,1,14,1,37,0,14,0,1,0,0,0,0,0
49673,"Júlio César",1,36,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0
49674,"Fabrício",2,36,28,7,3,26,1,2,27,7,87,0,8,0,0,0,1,0,0,0
49675,"Alexandre Pato",5,36,19,19,16,69,9,15,24,4,106,6,0,0,2,0,0,0,0,0
50281,"Wanderley Filho",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50284,"Wilson",1,30,1,0,0,5,0,0,0,3,14,0,13,41,0,25,0,0,0,0
50292,"Paulinho Dias",4,25,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
50294,"Guilherme",4,20,6,1,2,4,0,2,1,1,25,0,0,0,0,0,0,0,0,0
50295,"Felipe Menezes",4,36,11,20,13,30,5,2,19,2,110,5,0,0,0,0,0,0,1,0
50301,"Everton",4,36,50,14,8,55,4,25,47,7,95,2,0,0,0,0,1,0,0,0
50313,"Elicarlos",4,36,25,0,3,39,1,0,37,4,61,0,0,0,0,0,0,0,0,0
50317,"David Braz",3,36,17,1,6,13,2,2,43,6,106,1,12,0,0,0,2,0,0,0
50324,"Hudson",4,36,58,5,1,12,0,0,51,7,48,2,0,0,0,0,0,0,0,0
50328,"Marcelo Oliveira",2,36,57,6,8,50,2,2,38,6,81,4,15,0,1,0,0,0,0,0
50346,"Guilherme Santos",2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50347,"Alan Kardec",5,36,5,1,2,4,4,2,0,2,9,1,0,0,0,0,0,0,1,0
50361,"Rafael Lima",3,36,11,2,1,14,0,5,29,2,58,1,8,0,0,0,0,1,0,0
50362,"Lucas",2,36,63,7,5,30,2,5,31,10,74,3,8,0,0,0,0,0,0,0
50382,"Charles",4,36,40,4,11,15,3,0,35,5,52,1,0,0,1,0,0,0,0,0
50393,"Thiego",3,36,4,1,7,10,1,2,12,1,30,0,5,0,0,0,0,0,0,0
50402,"Kayke",5,20,14,9,9,5,6,11,3,2,38,2,0,0,0,0,0,0,0,0
50408,"Breno",3,36,3,1,0,4,1,0,2,1,5,0,1,0,0,0,0,0,0,0
50417,"Valencia",4,36,4,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
50421,"Wesley",4,36,22,5,9,23,1,2,23,4,62,2,0,0,0,0,0,0,0,0
50427,"Kadu",3,36,50,0,8,12,1,2,30,9,60,1,11,0,1,0,0,0,0,0
50439,"Vilson",3,36,21,0,1,9,0,0,12,6,47,1,7,0,0,0,2,0,0,0
50453,"Anderson Pico",2,36,3,1,1,3,0,0,5,0,18,0,0,0,0,0,0,0,0,0
50454,"Serginho",4,36,46,3,5,29,0,0,42,10,75,2,0,0,0,0,0,0,0,0
50459,"Léo",3,36,7,0,3,3,0,0,7,1,12,0,1,0,0,0,0,0,0,0
50462,"Leandro Almeida",3,36,43,3,5,8,0,2,13,5,39,0,3,0,0,0,1,0,0,0
50533,"Guiñazu",4,36,38,0,3,19,0,0,52,7,27,0,0,0,0,0,1,0,0,0
50645,"Eduardo",2,36,59,3,10,27,0,3,53,7,146,3,12,0,0,0,0,0,0,0
50877,"Pedro Ken",4,3,4,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0
50880,"Keirrison",5,36,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
51042,"Apodi",2,36,44,14,16,63,4,6,40,6,117,0,13,0,0,0,1,1,0,0
51168,"André Paulino",3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51175,"Denis",1,36,0,0,0,0,0,0,0,0,4,0,2,11,0,12,0,0,0,0
51293,"Wanderson",4,36,7,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
51299,"Emerson",3,36,28,5,7,15,2,2,33,8,64,0,4,0,0,0,0,0,0,0
51318,"Leandro Donizete",4,36,33,7,4,38,0,0,53,6,80,1,0,0,0,0,0,0,0,0
51319,"Renato Cajá",4,12,20,9,12,11,5,5,11,4,67,2,0,0,2,0,0,0,0,0
51365,"Hudson Coutinho",6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51413,"Walter",1,36,0,0,0,0,0,0,0,0,3,0,2,7,0,2,0,0,0,0
51476,"Rafael Bastos",4,36,24,8,12,29,1,2,21,5,48,2,0,0,0,0,0,0,0,0
51495,"Tiago Alves",3,36,10,0,2,5,2,1,6,2,21,0,4,0,0,0,1,0,0,0
51548,"Giuliano",4,36,27,10,14,31,6,3,36,0,130,7,0,0,0,0,0,0,0,0
51681,"Hélder",4,23,27,3,3,13,0,1,13,5,21,0,0,0,2,0,0,0,0,0
51683,"Bruno Rangel",5,36,19,6,12,9,9,6,5,1,11,0,0,0,1,0,0,0,0,0
51705,"Bruno Rodrigo",3,36,17,3,6,6,0,0,19,5,28,0,5,0,0,0,0,0,0,0
51779,"Pedro Botelho",2,36,5,1,1,4,0,1,4,1,15,0,2,0,0,0,0,0,0,0
51820,"Flavinho",5,23,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
51869,"Edson Ratinho",2,17,12,1,3,25,0,1,12,4,40,0,3,0,0,0,1,0,0,0
52190,"Ralf",4,36,35,2,2,35,1,0,54,4,52,1,0,0,0,0,0,0,0,0
52253,"Réver",3,36,7,1,1,17,2,2,12,3,31,0,8,0,0,0,0,1,0,0
