"atletas.atleta_id","nome","atletas.posicao_id","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
38506,"Willian Lanes de Lima","zag",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38508,"Eder Luis de Oliveira","ata",36,7,0,2,10,0,5,4,0,11,0,0,0,0,0,0,0,0,0
38509,"Diego Alves Carreira","gol",38,0,0,0,7,0,0,0,2,28,0,11,29,0,16,0,0,0,1
38523,"Edílson Mendes Guimarães","lat",38,22,1,6,12,1,0,19,11,48,1,5,0,0,0,0,0,0,0
38530,"Cleiton Ribeiro Xavier","mei",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38545,"Felipe Melo de Carvalho","mei",38,44,2,10,26,2,2,57,14,58,1,0,0,1,0,0,0,0,0
38573,"Nílton Ferreira Júnior","mei",38,16,1,7,7,1,0,12,3,12,1,0,0,0,0,0,0,0,0
38588,"Elton Rodrigues Brandão","ata",18,17,2,4,4,2,1,3,2,6,1,0,0,0,0,0,0,0,0
38632,"Matheus Ferraz Pereira","zag",38,34,0,5,16,0,2,40,4,34,0,9,0,0,0,0,0,0,0
38695,"David França Oliveira e Silva","mei",38,5,0,2,1,0,0,8,0,14,0,0,0,0,0,0,0,0,0
38738,"Douglas dos Santos","mei",38,9,2,3,13,2,0,1,1,57,1,0,0,0,0,0,0,0,0
38908,"Renato Dirnei Florêncio","mei",38,5,1,2,12,1,2,8,1,20,0,0,0,0,0,0,0,0,0
38909,"Diego Ribas da Cunha","mei",38,37,6,22,82,6,8,31,10,95,3,0,0,1,0,1,0,0,0
38910,"Ricardo de Oliveira","ata",38,50,13,31,36,13,23,12,3,42,7,0,0,2,0,0,0,0,0
38913,"Anderson Luiz de Carvalho","mei",38,29,8,22,71,8,10,25,8,109,5,0,0,3,0,0,0,1,0
38928,"Alexandro Silva de Souza","mei",38,2,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
