"Atleta","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
42222,"Osvaldo",5,38,21,7,10,35,0,12,13,5,70,9,0,0,1,0,0,0,0,0
42232,"Amaral",4,38,66,5,7,19,2,1,42,6,44,1,0,0,0,0,0,0,0,0
42234,"Cássio",1,38,0,0,0,9,0,0,0,4,11,1,14,26,0,28,0,0,0,1
42247,"Danny Morais",3,16,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
42330,"Felipe Garcia",1,38,0,0,0,0,0,0,0,0,4,0,1,2,0,4,0,0,0,0
42490,"Jajá",4,38,5,5,8,19,0,1,6,1,29,0,0,0,1,0,0,0,0,0
42499,"Bruno",2,38,45,2,1,33,0,0,27,3,84,3,10,0,0,0,1,0,0,0
42500,"Fagner",2,38,50,3,5,43,2,3,52,7,127,1,14,0,0,0,1,0,0,0
42501,"Rhodolfo",3,38,19,2,3,12,0,1,22,3,56,0,14,0,0,0,0,0,0,0
42540,"Bileu",4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43618,"Luiz Felipe Scolari",6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44857,"Naldinho",4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49641,"Adriano",4,38,19,0,0,17,0,0,27,1,25,0,0,0,0,0,0,0,0,0
49651,"Ernando",3,38,15,4,5,13,0,0,27,1,38,0,11,0,1,0,0,0,0,0
49673,"Júlio César",1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49674,"Fabrício",2,38,46,3,14,32,4,4,38,7,137,6,13,0,0,0,2,0,0,0
49675,"Alexandre Pato",5,38,17,14,18,49,9,18,16,4,83,3,0,0,1,0,0,0,0,0
50284,"Wilson",1,38,0,0,0,12,0,0,0,2,13,0,4,43,0,29,0,0,0,0
50292,"Paulinho Dias",4,38,25,0,10,12,1,0,15,1,51,0,0,0,0,0,0,0,0,0
50294,"Guilherme",5,38,24,3,7,22,3,8,8,3,65,2,0,0,0,0,0,0,0,0
50295,"Felipe Menezes",4,38,8,9,6,14,0,0,13,0,48,2,0,0,1,0,0,0,0,0
50301,"Everton",4,38,56,17,23,62,5,23,34,6,122,3,0,0,2,0,0,0,0,0
50317,"David Braz",3,38,31,5,7,24,3,1,37,12,104,0,14,0,0,0,0,0,0,0
50321,"Vitor Júnior",4,38,8,3,0,4,0,0,4,2,14,0,0,0,0,0,0,0,0,0
50324,"Hudson",4,38,28,2,1,18,0,1,32,3,34,1,0,0,0,0,0,0,0,0
50326,"Éverton Santos",5,9,7,2,5,14,0,6,3,1,11,1,0,0,0,0,0,0,0,0
50328,"Marcelo Oliveira",4,38,63,0,11,37,0,2,36,9,48,1,0,0,0,0,0,0,0,0
50329,"Lulinha",4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50346,"Guilherme Santos",2,38,46,5,7,17,2,2,21,8,95,4,7,0,0,0,2,0,0,0
50347,"Alan Kardec",5,38,45,10,19,43,9,11,8,3,61,2,0,0,0,0,0,0,0,0
50348,"Conca",4,38,31,20,23,102,9,2,40,5,193,10,0,0,3,0,0,0,0,0
50353,"Titi",3,38,32,0,1,17,1,4,39,8,58,1,7,0,0,0,1,0,0,0
50358,"Marcelo Moreno",5,38,59,28,39,41,15,14,8,0,48,3,0,0,2,0,1,0,0,0
50361,"Rafael Lima",3,38,32,4,8,22,1,2,40,7,55,0,9,0,0,0,0,1,0,0
50362,"Lucas",2,17,18,1,1,6,0,0,9,2,49,2,3,0,0,0,1,0,0,0
50366,"Jean Carlos",5,35,5,1,0,13,0,4,3,1,3,1,0,0,0,0,0,0,0,0
50369,"Carlos Eduardo",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50382,"Charles",4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50413,"Anderson Aquino",5,38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50417,"Valencia",4,38,25,1,0,11,0,1,20,5,27,0,0,0,0,0,0,0,0,0
50418,"Dinei",5,38,42,15,20,39,9,15,24,4,50,2,0,0,0,0,0,0,0,0
50421,"Wesley",4,38,45,15,16,39,1,2,29,6,109,2,0,0,1,0,1,0,0,0
50425,"Roger Gaúcho",4,14,2,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
50427,"Kadu",3,30,29,0,5,21,3,1,33,1,62,0,4,0,0,0,0,1,0,0
50439,"Vilson",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50446,"Chico",3,38,23,2,4,7,1,1,14,2,16,0,2,0,0,0,0,0,0,0
50453,"Anderson Pico",2,21,10,4,8,5,1,0,21,0,35,1,3,0,1,0,0,0,0,0
50454,"Serginho",4,38,54,6,7,53,2,3,55,8,61,0,0,0,0,0,0,0,0,0
50459,"Léo",3,38,23,1,6,6,2,0,43,3,58,0,8,0,0,0,0,1,0,0
50461,"Edson",1,38,0,0,0,1,0,0,0,0,1,0,2,5,0,3,0,0,0,0
50462,"Leandro Almeida",3,38,52,2,11,17,3,3,28,7,57,0,10,0,0,0,1,0,0,0
50532,"Maxi Biancucchi",5,38,15,8,6,39,3,6,15,3,27,0,0,0,0,0,0,0,0,0
50645,"Eduardo",2,38,35,9,9,38,0,2,38,5,86,2,7,0,0,0,1,0,0,0
50666,"Diogo",5,38,42,7,17,68,1,4,20,3,61,2,0,0,0,0,0,0,0,0
50880,"Keirrison",5,38,7,1,0,10,3,2,0,1,8,1,0,0,0,0,0,0,0,0
50908,"Wellington Bruno",4,35,5,0,1,5,0,0,1,0,19,0,0,0,0,0,0,0,0,0
50909,"Bruno Mineiro",5,30,13,5,6,18,2,8,2,3,17,0,0,0,0,0,0,0,0,0
50961,"Léo Gago",4,38,34,7,16,11,0,0,26,4,61,0,0,0,0,0,0,0,0,0
