"atletas.atleta_id","nome","atletas.posicao_id","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti","mediaFC","mediaFD","mediaFF","mediaFS","mediaG","mediaI","mediaR","mediaCA","mediaPE","mediaA","mediaJSG","mediaDD","mediaFT","mediaGS","mediaCV","mediaGC","mediaPP","mediaDP"
36540,"Juan Silveira dos Santos","zag",38,10,3,6,7,0,0,19,5,14,2,3,0,1,0,0,0,0,0,0.263157894736842,0.0789473684210526,0.157894736842105,0.184210526315789,0,0,0.5,0.131578947368421,0.368421052631579,0.0526315789473684,0.0789473684210526,0,0.0263157894736842,0,0,0,0,0
36612,"José Roberto da Silva Júnior","lat",38,17,0,0,8,0,0,6,1,15,2,5,0,0,0,0,0,0,0,0.447368421052632,0,0,0.210526315789474,0,0,0.157894736842105,0.0263157894736842,0.394736842105263,0.0526315789473684,0.131578947368421,0,0,0,0,0,0,0
36940,"Oswaldo de Oliveira","tec",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36943,"Paulo Autuori","tec",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37245,"Augusto Sérgio Ferreira","tec",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37246,"Ney Franco da Silveira Júnior","tec",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37281,"Luis Antônio Venker de Menezes","tec",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37306,"Gilson Kleina","tec",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37333,"Marcelo Ribeiro Cabo","tec",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37424,"Luiz Carlos de Oliveira Preto","tec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37604,"Paulo André Cren Benini","zag",38,16,2,0,14,0,0,16,4,46,0,5,0,1,0,0,0,0,0,0.421052631578947,0.0526315789473684,0,0.368421052631579,0,0,0.421052631578947,0.105263157894737,1.21052631578947,0,0.131578947368421,0,0.0263157894736842,0,0,0,0,0
