"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti","mediaFC","mediaFD","mediaFF","mediaFS","mediaG","mediaI","mediaR","mediaCA","mediaPE","mediaA","mediaJSG","mediaDD","mediaFT","mediaGS","mediaCV","mediaGC","mediaPP","mediaDP"
37657,"Edu Dracena",3,38,24,3,5,20,0,4,16,4,27,0,9,0,0,0,0,0,0,0,0.631578947368421,0.0789473684210526,0.131578947368421,0.526315789473684,0,0.105263157894737,0.421052631578947,0.105263157894737,0.710526315789474,0,0.236842105263158,0,0,0,0,0,0,0
37659,"Lauro",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37662,"Jonathan",2,38,6,1,1,6,0,1,11,2,30,0,5,0,0,0,0,0,0,0,0.157894736842105,0.0263157894736842,0.0263157894736842,0.157894736842105,0,0.0263157894736842,0.289473684210526,0.0526315789473684,0.789473684210526,0,0.131578947368421,0,0,0,0,0,0,0
37673,"Alecsandro",5,38,17,3,2,11,3,0,0,1,20,0,0,0,0,0,0,0,0,0,0.447368421052632,0.0789473684210526,0.0526315789473684,0.289473684210526,0.0789473684210526,0,0,0.0263157894736842,0.526315789473684,0,0,0,0,0,0,0,0,0
37688,"Cícero",4,38,48,15,22,58,9,22,28,9,99,2,0,0,0,0,0,0,1,0,1.26315789473684,0.394736842105263,0.578947368421053,1.52631578947368,0.236842105263158,0.578947368421053,0.736842105263158,0.236842105263158,2.60526315789474,0.0526315789473684,0,0,0,0,0,0,0.0263157894736842,0
37694,"Henrique",4,38,39,3,12,58,4,0,69,6,79,0,0,0,0,0,0,0,0,0,1.02631578947368,0.0789473684210526,0.315789473684211,1.52631578947368,0.105263157894737,0,1.81578947368421,0.157894736842105,2.07894736842105,0,0,0,0,0,0,0,0,0
37701,"Léo Moura",2,38,19,5,2,32,3,0,38,4,128,3,6,0,1,0,0,0,0,0,0.5,0.131578947368421,0.0526315789473684,0.842105263157895,0.0789473684210526,0,1,0.105263157894737,3.36842105263158,0.0789473684210526,0.157894736842105,0,0.0263157894736842,0,0,0,0,0
37705,"Juan",4,38,28,9,16,52,4,4,43,2,104,6,0,0,1,0,1,0,1,0,0.736842105263158,0.236842105263158,0.421052631578947,1.36842105263158,0.105263157894737,0.105263157894737,1.13157894736842,0.0526315789473684,2.73684210526316,0.157894736842105,0,0,0.0263157894736842,0,0.0263157894736842,0,0.0263157894736842,0
37718,"Arouca",4,38,4,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0.105263157894737,0,0,0.0263157894736842,0,0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0,0,0,0,0,0,0,0,0
37770,"Marcelo Grohe",1,38,0,0,0,5,0,0,0,4,19,0,15,34,0,29,0,0,0,0,0,0,0,0.131578947368421,0,0,0,0.105263157894737,0.5,0,0.394736842105263,0.894736842105263,0,0.763157894736842,0,0,0,0
37788,"Marcelo Boeck",1,38,0,0,0,0,0,0,0,0,3,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0789473684210526,0,0,0.184210526315789,0,0.342105263157895,0,0,0,0
37790,"Ceará",2,38,10,0,6,16,0,1,10,0,50,0,5,0,0,0,0,0,0,0,0.263157894736842,0,0.157894736842105,0.421052631578947,0,0.0263157894736842,0.263157894736842,0,1.31578947368421,0,0.131578947368421,0,0,0,0,0,0,0
37792,"Edinho",4,38,43,3,8,22,0,1,24,7,43,1,0,0,0,0,0,0,0,0,1.13157894736842,0.0789473684210526,0.210526315789474,0.578947368421053,0,0.0263157894736842,0.631578947368421,0.184210526315789,1.13157894736842,0.0263157894736842,0,0,0,0,0,0,0,0
37798,"Rafael Sobis",5,26,16,23,23,44,4,1,18,6,50,2,0,0,1,0,0,0,0,0,0.615384615384615,0.884615384615385,0.884615384615385,1.69230769230769,0.153846153846154,0.0384615384615385,0.692307692307692,0.230769230769231,1.92307692307692,0.0769230769230769,0,0,0.0384615384615385,0,0,0,0,0
37837,"Cristian",4,19,8,1,2,8,0,0,3,2,13,0,0,0,1,0,0,0,0,0,0.421052631578947,0.0526315789473684,0.105263157894737,0.421052631578947,0,0,0.157894736842105,0.105263157894737,0.684210526315789,0,0,0,0.0526315789473684,0,0,0,0,0
37851,"Maicosuel",4,25,12,2,4,20,2,0,11,1,28,1,0,0,0,0,0,0,0,0,0.48,0.08,0.16,0.8,0.08,0,0.44,0.04,1.12,0.04,0,0,0,0,0,0,0,0
37894,"Danilo Dias",5,28,1,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0.107142857142857,0,0.0357142857142857,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0
37917,"Elano",4,38,4,1,0,3,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0.105263157894737,0.0263157894736842,0,0.0789473684210526,0,0.0263157894736842,0,0,0.131578947368421,0,0,0,0,0,0.0263157894736842,0,0,0
